	qpcr_analyse	length_qpcr_product	tax_level	max_qpcr_hits	max_qpcr_hits_all	sum_amounts	overview_tax__nr_qpcr
20	clus_tfdA_fw_341_rev_842_62	389	|genus|	2	2	32.099999999999994	{'Bradyrhizobium': 7, 'Variovorax': 1, 'Achromobacter': 2, 'Pseudomonas': 1, 'Chryseobacterium': 1}
26	clus_tfdA_fw_120_rev_577_62	375	|genus|	5	5	30.9	{'Bradyrhizobium': 1, 'Achromobacter': 2, 'Pseudomonas': 2, 'Chryseobacterium': 1}
21	clus_tfdA_fw_120_rev_651_62	386	|genus|	4	4	30.9	{'Bradyrhizobium': 6, 'Achromobacter': 1, 'Pseudomonas': 7, 'Chryseobacterium': 2}
28	clus_tfdA_fw_120_rev_552_62	374	|genus|	4	4	30.9	{'Bradyrhizobium': 3, 'Achromobacter': 3, 'Pseudomonas': 9, 'Chryseobacterium': 1}
30	clus_tfdA_fw_120_rev_842_62	560	|genus|	4	4	30.9	{'Bradyrhizobium': 4, 'Achromobacter': 2, 'Pseudomonas': 2, 'Chryseobacterium': 1}
4	clus_tfdA_fw_266_rev_577_62	249	|genus|	3	3	30.9	{'Bradyrhizobium': 3, 'Achromobacter': 3, 'Pseudomonas': 2, 'Chryseobacterium': 1}
5	clus_tfdA_fw_266_rev_552_62	248	|genus|	3	3	30.9	{'Bradyrhizobium': 5, 'Achromobacter': 5, 'Pseudomonas': 7, 'Chryseobacterium': 1}
17	clus_tfdA_fw_341_rev_577_62	204	|genus|	3	3	30.9	{'Bradyrhizobium': 3, 'Achromobacter': 4, 'Pseudomonas': 1, 'Chryseobacterium': 1}
24	clus_tfdA_fw_120_rev_341_62	193	|genus|	3	3	30.9	{'Bradyrhizobium': 5, 'Achromobacter': 3, 'Pseudomonas': 3, 'Chryseobacterium': 1}
42	clus_tfdA_fw_552_rev_842_62	207	|genus|	3	3	30.9	{'Bradyrhizobium': 4, 'Achromobacter': 1, 'Pseudomonas': 4, 'Chryseobacterium': 1}
0	clus_tfdA_fw_266_rev_651_62	260	|genus|	2	2	30.9	{'Bradyrhizobium': 16, 'Achromobacter': 1, 'Pseudomonas': 6, 'Chryseobacterium': 2}
